id;title;stage;age_min_months;meal_type;texture;diet;prep_min;cook_min;ingredients;steps;nutrition_focus;iron_source;protein_source;allergens;fruit_veg;added_sugar;added_salt;texture_notes;safety_notes;family_adaptation;freezer_ok;batch_ok;evidence_tags;source_ids;source_urls
R011;Puhára főtt brokkolirudak hummusszal;6–8 hó;7;ebéd/uzsonna;finger food + krém;vegán;5;12;2–3 nagy brokkolirózsa hosszú szárral | 2 ek sima, sótlan hummusz;A brokkolit gőzöld annyira puhára, hogy két ujj között könnyen szétnyomható legyen. A hummuszt kevés vízzel lazítsd.;Önetetés, zöldség-expozíció, hüvelyesből származó vas és fehérje.;csicseriborsó, tahini;csicseriborsó;szezám;brokkoli;nincs;nincs;A brokkoli fogantyúként megfogható, a rózsa teljesen puha. Hummusz előtöltött kanálon is adható.;A szár se legyen kemény. A hummusz ne legyen sűrű és tapadós. Mindig stabil ülésben, közvetlen felügyelettel.;Családi köretként citromos-fokhagymás hummusszal és sült zöldségekkel tálalható.;nem;nem;"önálló evés; szezám; zöldség; vasfókusz";"WHO_RF_REVIEW;BLISS_PROTOCOL;CDC_CHOKING;WHO_PLANT_REVIEW";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://bmcpediatr.biomedcentral.com/articles/10.1186/s12887-015-0466-8;https://www.cdc.gov/infant-toddler-nutrition/foods-and-drinks/choking-hazards.html;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-fruits-and-vegetables-and-nuts-pulses-and-seeds.pdf?sfvrsn=39939e59_3"
R012;Almás-fahéjas zabkása;6–8 hó;6;reggeli;kása;vegán;3;10;25 g finom zabpehely | 120 ml víz | 60 g reszelt vagy párolt alma | csipet fahéj;A zabot és almát együtt főzd puhára, a végén kevés fahéjjal ízesítsd. Szükség szerint törd vagy turmixold.;Teljes értékű gabona, gyümölcs és ízváltozatosság hozzáadott cukor nélkül.;zab;zab;glutén;alma;nincs;nincs;"Sűrű, kanalazható; később reszelt alma puha darabjai maradhatnak benne.";"Az alma legyen teljesen puha; nyers, kemény almaszelet ebben a korban fulladásveszélyes.";A családnak diófélék finom őrleményével és joghurttal kiegészíthető.;nem;igen;"reggeli; cukormentes; gyors";"WHO_UNHEALTHY_REVIEW;WHO_RF_REVIEW;CDC_CHOKING";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-unhealthy-foods-and-beverages.pdf?sfvrsn=d4c4f02d_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://www.cdc.gov/infant-toddler-nutrition/foods-and-drinks/choking-hazards.html"
R013;Mini marhahúsos paradicsomos rizottó;9–12 hó;9;ebéd/vacsora;puha darabos;mindenevő;10;30;50 g darált marhahús | 35 g rizs | 100 g paradicsompassata hozzáadott só nélkül | 50 g cukkini | 1 tk olaj;A húst süsd át, add hozzá a rizst, passátát és apróra reszelt cukkinit. Kevés vízzel főzd nagyon puhára és szaftosra.;Hemvas, fehérje, energia és zöldség.;marhahús;marhahús;nincs;paradicsom, cukkini;nincs;nincs;A rizs legyen túlfőtt és szaftos, a hús nagyon finom szemcséjű.;Ne legyen száraz vagy morzsálódó. A paradicsompassata hozzáadott só nélküli legyen.;A felnőtt adagba bazsalikom, fokhagyma, parmezán és só kerülhet utólag.;igen;igen;"vasfókusz; családi étel; egytál";"WHO_ASF_REVIEW;WHO_CF_2023;WHO_RF_REVIEW";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://www.who.int/publications/i/item/9789240081864;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3"
R014;Pulykás zöldségfasírt puha rudakban;9–12 hó;9;ebéd/vacsora;puha finger food;mindenevő;12;22;150 g darált pulykahús | 60 g reszelt cukkini | 40 g reszelt sárgarépa | 1 tojás | 25 g zabpehely;Keverd össze, formázz ujjnyi, lapos rudakat, majd 180 °C-on süsd teljesen át úgy, hogy belül puha maradjon.;Fehérje, vas, zöldség és önálló evés gyakorlása.;pulykahús, zab;pulykahús, tojás;"tojás; glutén";cukkini, sárgarépa;nincs;nincs;"Puha, kézzel könnyen szétnyomható; ne legyen kérges vagy száraz.";A hús teljesen süljön át. Kínálás előtt ellenőrizd, hogy a rúd nem kemény és nem morzsálódik száraz darabokra.;A családi adaghoz fűszerek, fokhagyma és joghurtos mártogatós adható.;igen;igen;"finger food; hús; batch; allergén";"WHO_RF_REVIEW;BLISS_PROTOCOL;CDC_CHOKING;WHO_ASF_REVIEW";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://bmcpediatr.biomedcentral.com/articles/10.1186/s12887-015-0466-8;https://www.cdc.gov/infant-toddler-nutrition/foods-and-drinks/choking-hazards.html;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3"
R015;Lazacos krumplipogácsa;9–12 hó;9;ebéd/vacsora;puha finger food;mindenevő;12;20;120 g főtt burgonya | 70 g átsült, szálkamentes lazac | 1 tojás | 20 g finom zabpehely | kapor opcionálisan;Törd össze a burgonyát, keverd hozzá a lazacot, tojást és zabot. Formázz lapos pogácsákat, süsd 180 °C-on puhára.;Omega-3, fehérje, vas és energiadús családi étel.;lazac, zab;lazac, tojás;"hal; tojás; glutén";burgonya;nincs;nincs;"Belül legyen puha, kívül csak enyhén szilárd; csíkokra vágva könnyebb megfogni.";A lazac szálkamentességét kézzel is ellenőrizd. Ne süsd szárazra.;A családnak salátával vagy joghurtos-kapros szósszal tálalható.;igen;igen;"hal; omega-3; finger food; fagyasztható";"WHO_ASF_REVIEW;BLISS_PROTOCOL;CDC_CHOKING";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://bmcpediatr.biomedcentral.com/articles/10.1186/s12887-015-0466-8;https://www.cdc.gov/infant-toddler-nutrition/foods-and-drinks/choking-hazards.html"
R016;Vöröslencsés paradicsomos aprótészta;9–12 hó;9;ebéd/vacsora;puha darabos;vegán;8;25;40 g vöröslencse | 40 g apró tészta | 120 g sótlan paradicsompassata | 50 g reszelt sárgarépa | 1 tk olaj;A lencsét és zöldséget főzd puhára a passátában. Külön főzd túl puhára a tésztát, majd keverd össze.;Növényi vas, fehérje, gabona és zöldség egytálban.;vöröslencse;vöröslencse;glutén;paradicsom, sárgarépa;nincs;nincs;A tészta legyen nagyon puha, kis méretű és szaftos.;"Hosszú tésztát vágj rövidre; ne legyen száraz, összetapadt csomó.";A családnak olasz fűszerekkel, fokhagymával és sajttal egészíthető ki.;igen;igen;"vegán; vasfókusz; családi étel";"WHO_PLANT_REVIEW;WHO_CF_2023;WHO_RF_REVIEW";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-fruits-and-vegetables-and-nuts-pulses-and-seeds.pdf?sfvrsn=39939e59_3;https://www.who.int/publications/i/item/9789240081864;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3"
R017;Tojásos zöldségmuffin;9–12 hó;9;reggeli/ebéd;puha finger food;vegetáriánus;10;18;2 tojás | 50 g reszelt cukkini | 30 g apróra vágott spenót | 2 ek natúr joghurt | 20 g zabpehely;Keverd össze, oszd mini muffinformába, és 175 °C-on süsd teljesen át. Hűlés után csíkokra vagy negyedekre vágd.;Tojásfehérje, vas, kolin és zöldség.;tojás, spenót, zab;tojás, joghurt;"tojás; tej; glutén";cukkini, spenót;nincs;nincs;Puha, nedves belsejű, könnyen morzsolható, de nem száraz.;A tojás teljesen süljön át. A zöldségdarabok legyenek aprók és puhák.;Felnőtteknek feta, bors, zöldfűszer és több sajt adható.;igen;igen;"tojás; finger food; batch; reggeli";"WHO_ASF_REVIEW;WHO_RF_REVIEW;BLISS_PROTOCOL";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://bmcpediatr.biomedcentral.com/articles/10.1186/s12887-015-0466-8"
R018;Csicseriborsós édesburgonya-lepény;9–12 hó;9;ebéd/uzsonna;puha finger food;vegán;10;20;150 g főtt édesburgonya | 100 g főtt csicseriborsó | 25 g zabpehely | 1 tk olaj | csipet őrölt kömény opcionálisan;Törd össze, formázz lapos korongokat, és 180 °C-on süsd puhára. Szükség esetén kevés vízzel lazítsd a masszát.;Növényi fehérje, vas, rost és energia.;csicseriborsó, zab;csicseriborsó;glutén;édesburgonya;nincs;nincs;A korong legyen puha és nedves, két ujjal könnyen szétnyomható.;Ne süsd kérgesre vagy szárazra. Kisebb falatokra törd a gyermek készségéhez igazítva.;A családnak tahinis-joghurtos vagy paradicsomos mártogatóssal tálalható.;igen;igen;"vegán; vasfókusz; finger food; fagyasztható";"WHO_PLANT_REVIEW;WHO_RF_REVIEW;CDC_CHOKING";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-fruits-and-vegetables-and-nuts-pulses-and-seeds.pdf?sfvrsn=39939e59_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://www.cdc.gov/infant-toddler-nutrition/foods-and-drinks/choking-hazards.html"
R019;Zabos túrópalacsinta;9–12 hó;9;reggeli/uzsonna;puha finger food;vegetáriánus;5;12;100 g túró | 1 tojás | 40 g zabpehelyliszt | 50 g reszelt körte vagy alma | kevés víz;Keverd sűrű masszává, kis lapos palacsintákat süss alacsony hőfokon mindkét oldalon teljesen át.;Fehérje, kalcium, tojás és teljes értékű gabona hozzáadott cukor nélkül.;tojás, zab;túró, tojás;"tej; tojás; glutén";körte vagy alma;nincs;nincs;"Puha, nem gumis; hosszú csíkokra vagy kis darabokra vágható.";A belseje süljön át. Ne adj keményre pirult, száraz széleket.;A családnak joghurttal, gyümölccsel és fahéjjal tálalható.;igen;igen;"cukormentes; reggeli; finger food";"WHO_UNHEALTHY_REVIEW;WHO_RF_REVIEW;WHO_ASF_REVIEW";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-unhealthy-foods-and-beverages.pdf?sfvrsn=d4c4f02d_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3"
R020;Puhára sült körte zabos morzsával;9–12 hó;9;uzsonna;puha darabos;vegetáriánus;5;18;1 érett körte | 20 g zabpehely | 1 tk vaj vagy olaj | 2 ek natúr joghurt;"A körtét hámozd és aprítsd, süsd teljesen puhára. A zabot kevés zsiradékkal csak puhára pirítsd, ne keményre; joghurttal tálald.";"Gyümölcs, gabona, tejtermék; desszertélmény hozzáadott cukor nélkül.";zab;joghurt;"tej; glutén";körte;nincs;nincs;"A körte villával könnyen szétnyomható legyen; a zab ne legyen ropogós, kemény.";A körtemagot távolítsd el. Kemény morzsát vagy egész magvakat ne adj.;A családnak dióőrleménnyel és több fűszerrel készülhet.;nem;nem;"cukormentes; gyümölcs; uzsonna";"WHO_UNHEALTHY_REVIEW;CDC_CHOKING;WHO_RF_REVIEW";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-unhealthy-foods-and-beverages.pdf?sfvrsn=d4c4f02d_3;https://www.cdc.gov/infant-toddler-nutrition/foods-and-drinks/choking-hazards.html;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3"
R021;Csirkés kuszkusz puha zöldségekkel;9–12 hó;9;ebéd/vacsora;puha darabos;mindenevő;10;20;50 g finomra vágott csirkecombfilé | 35 g kuszkusz | 50 g cukkini | 40 g sárgarépa | 1 tk olaj | víz;A csirkét és zöldségeket főzd teljesen puhára. A kuszkuszt áztasd meg, majd keverd a szaftos raguhoz.;Fehérje, vas, gabona és zöldség.;csirkehús;csirkehús;glutén;cukkini, sárgarépa;nincs;nincs;"A kuszkusz legyen nedves és a hús nagyon apró; szükség szerint villával törd.";A hús ne legyen száraz vagy rostos. A kuszkuszt ne kínáld száraz szemcsékben.;A családnak citromos-fűszeres közel-keleti egytálételként készíthető.;igen;igen;"családi étel; hús; gyors";"WHO_ASF_REVIEW;WHO_CF_2023;WHO_RF_REVIEW";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://www.who.int/publications/i/item/9789240081864;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3"
R022;Brokkolis omlettcsíkok;9–12 hó;9;reggeli/ebéd;puha finger food;vegetáriánus;5;10;1 tojás | 40 g puhára párolt, finomra vágott brokkoli | 1 ek víz vagy joghurt;Keverd össze, kis serpenyőben alacsony hőfokon süsd át mindkét oldalán, majd vágd ujjnyi csíkokra.;Tojásfehérje, vas, kolin és zöldség.;tojás;tojás;"tojás; tej opcionálisan";brokkoli;nincs;nincs;"Puha, hajlítható csíkok; ne legyen gumis vagy kiszáradt.";A tojás teljesen süljön át. A brokkolidarabok legyenek kicsik és puhák.;A családnak sajttal, borssal és salátával tálalható.;nem;nem;"tojás; finger food; gyors";"WHO_ASF_REVIEW;WHO_RF_REVIEW;BLISS_PROTOCOL";"https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-animal-source-foods.pdf?sfvrsn=de55e4b7_3;https://cdn.who.int/media/docs/default-source/nutrition-and-food-safety/complementary-feeding/cf-guidelines/systematic-review-responsive-feeding.pdf?sfvrsn=2a46329d_3;https://bmcpediatr.biomedcentral.com/articles/10.1186/s12887-015-0466-8"
