id,age,domain,title,place,prep_time,materials,intro,adult_role,easier,harder,montessori,source_ids
A090,9–12 hó,Matematika előkészítő,"Egy bele, még egy bele",benti,2 perc,"tál, 2-3 nagy tárgy","Pakolás közben mondd: egy, még egy, kész/elfogyott.",Nem számoltatás; mennyiségszavak cselekvéshez kötése.,csak 'még' és 'kész',2-3 tárgy következetesen,konkrét manipuláció,S3; S12
A091,12–18 hó,Gyakorlati élet,Cipők párosítása nagyon eltérő párokkal,benti,3 perc,2-3 pár cipő,"Tegyél ki két nagyon eltérő párt, mutasd: ez az egyik, hol a párja?","Ha csak pakolja, az is rendben; a párosítás később épül.",egy pár,hasonlóbb cipők,"rend, párosítás, practical life",S1; S3
A092,12–18 hó,Finommotorika,Nagy formák bedobása formanyíláson,benti,3 perc,formaillesztő vagy saját doboz,Kezdd egy formával és egy nyílással.,A hiba természetes; a forma legyen önellenőrző.,egy forma,2-3 forma,"önellenőrzés, téri gondolkodás",S6; S18
A093,12–18 hó,Gyakorlati élet,Teregetésnél ruhadarab adogatása,benti,0 perc,mosott ruhák,"Adj valódi szerepet: add ide a zoknit, tedd a kosárba.","A részvétel fontosabb, mint a gyorsaság.",csak adogatás,zokni/póló válogatás,valós tevékenység,S1; S12
A094,12–18 hó,Nyelv/könyv,Kedvenc tárgy megkeresése képeskönyvben,benti,0 perc,képeskönyv,"Kérdezd: hol a kutya? Ha mutat vagy néz, nevezd meg és bővítsd.","Több kommentár, kevesebb tesztelés.",te mutatsz,ő választ könyvet/tárgyat,"közös figyelem, érdeklődés",S7; S8
A095,12–18 hó,Nagymozgás,Puha alagút vagy szék alatt átmászás,benti,5 perc,"szék, takaró vagy alagút","Mutasd az útvonalat, aztán hagyd ismételni.","Biztonságos tér, kevés instrukció.",nyitott útvonal,alatt-fölött-körül kombináció,"mozgás-kogníció, téri szókincs",S6; S9
A096,12–18 hó,Matematika,Nagy-kicsi tárgyak páros megnevezése,benti/kinti,0 perc,mindennapi tárgyak,"Valós helyzetben mondd: nagy labda, kicsi labda.",Ne kérdezz túl sokat; a fogalmak cselekvés közben jelenjenek meg.,2 tárgy,sorba rendezés 3 mérettel,jelentésteli kontextus,S3; S6
A097,12–18 hó,Szenzoros/practical life,Vízzel való törölgetés tálcán,benti/kinti,5 perc,"tálca, kis szivacs/rongy, kevés víz","Mutasd: márt, kinyom, töröl.","A víz mennyiségét korlátozd, de engedd a felfedezést.",száraz törlés,kevés vízzel célfelület,"practical life, rend",S1; S13
A098,12–18 hó,Zene/EF,Egyszerű utánzó mozdulatok dalban,benti/kinti,0 perc,nincs,"Egy rövid dalban ismétlődő mozdulat: taps, integetés, dobbantás.","Várd meg, csatlakozik-e; ne erőltesd.",egy mozdulat,2-3 mozdulat sorrendben,"ismétlés, társas tanulás",S10; S12
A099,12–18 hó,Kinti/szenzoros,"Vödörbe gyűjtés: levelek, tobozok, botok",kinti,0 perc,vödör,Kint legyen cél: ebbe gyűjtjük a leveleket.,"A természetes érdeklődést használd, ne vidd túl strukturáltra.",csak gyűjtés,két kategória: levél/bot,"érdeklődés, jelentésteli kontextus",S3; S6
A100,12–18 hó,Társas,Labda gurítása sorban: én-te,benti/kinti,1 perc,puha labda,"Gurítsd oda, várj, mondd: te jössz.","A várakozás és turn-taking a fontos, nem a pontos gurítás.",nagyon közel,"messzebb, célba gurítás","társas tanulás, EF",S9; S10
A001,17–24 hó,Környezet/rend,Heti rotációs polc 6–8 tevékenységgel,benti,15 perc/hét,"nyitott polc, tálcák/kosarak","Tegyél ki kevés, jól látható tevékenységet; a többit tedd el.","Mutasd be röviden, majd hagyd, hogy ő válasszon.",4–5 elem,"8 elem, finomabb különbségek","rend, választás, prepared environment",S1; S11
A002,17–24 hó,Finommotorika,Kupakbedobás dobozba különböző nyílásokon,benti,5 perc,"nagy kupakok, doboz, kivágott nyílás","Lassan mutasd meg: kupak be, majd doboz megrázása.",Ne javítsd túl; csak biztonság és bemutatás.,egy nagy nyílás,2-3 méretű nyílás,"mozgás-kogníció, önellenőrzés",S2; S18
A003,17–24 hó,Gyakorlati élet,Pakolás egyik kosárból a másikba,benti,2 perc,"2 kosár, 6-8 nagy tárgy",Mutasd: egy tárgy átkerül a másik kosárba.,Adj időt az ismétlésre.,3 tárgy,különböző méretű tárgyak,"practical life, ismétlés",S1; S10
A004,17–24 hó,Gyakorlati élet,Kanalazás nagy tésztával vagy pomponnal,benti,5 perc,"2 tál, nagy kanál, nagy tészta/pompon","Mutasd balról jobbra: merítés, átvitel, lerakás.",A rendetlenség része a tanulásnak.,kézzel pakolás,"kisebb kanál, több darab","practical life, rend",S1; S18
A005,17–24 hó,Gyakorlati élet,Száraz öntés kis kancsóból tálba,benti,5 perc,"kis kancsó, rizs/tészta, tálca","Mutasd lassan, kevés anyaggal; maradjon tálcán.","Segíts takarítani, ne vedd el azonnal.",kevesebb anyag,"kisebb edény, célpohár","practical life, önellenőrzés",S1; S2; S10
A006,17–24 hó,Gyakorlati élet,Asztal törölgetése kis ronggyal,benti,1 perc,"kis rongy, kevés víz/spray","Mutasd: spriccel, töröl, rongy a helyére.","Kapjon valódi feladatot, ne csak játékverziót.",száraz törlés,kis felület előkészítése,jelentésteli kontextus,S1; S12
A007,17–24 hó,Gyakorlati élet/matematika,Mosógépbe pakolás és zoknipárosítás nagyon eltérő párokkal,benti,5 perc,3 eltérő pár zokni,Először csak addogatás; később 'ugyanolyan' párok keresése.,"Ne kikérdezés legyen, hanem együtt pakolás.",2 pár,hasonlóbb színek/minták,"valós tevékenység, rend",S1; S3; S13
A008,17–24 hó,Nyelv,Állatfigura és állatkép párosítása,benti,5 perc,"3-5 állatfigura, hozzá képek","Tedd le a képeket, mutasd: kutya a kutyához.",Kísérd hangutánzással és egyszerű szóval.,2 állat,"5-6 állat, hasonlóbb kategória",szenzoros-konkrét tanulás,S7; S8; S13
A009,17–24 hó,Nyelv,Hangutánzás állatokkal vagy járművekkel,benti/kinti,0 perc,állatok/járművek,"Ő válasszon tárgyat, te nevezd meg és hanggal kísérd.","Várj 3-5 mp-et, ne töltsd ki rögtön a csendet.",kevesebb elem,kétlépéses játék: állat megy aludni,"érdeklődés, felnőtt stílus",S7; S8
A010,17–24 hó,Téri gondolkodás,Toronyépítés 6-8 nagy kockából,benti,2 perc,nagy kockák,"Építs egy rövid tornyot, majd hagyd folytatni/ledönteni.","Narráld: magas, leesett, még egy.",3 kocka,eltérő méretű kockák,mozgás-kogníció,S6; S2
A011,17–24 hó,Nagymozgás,Párnás mini akadálypálya,benti,5 perc,"párnák, matrac, alacsony akadály","Mutasd: át, fel, le, körbe; ő válasszon utat.","Biztonságot adj, ne javítsd mozdulatról mozdulatra.",1-2 elem,"alacsony alagút, puha lépcső",mozgás-kogníció,S1; S9
A012,17–24 hó,Nagymozgás,Labda gurítás célba vagy egymásnak,benti/kinti,1 perc,"puha labda, doboz/kosár","Üljetek szemben, gurítsd, várd vissza.","A várakozást is modellezd: most te, most én.",nagy labda,"kisebb cél, messzebb",társas tanulás,S9; S10
A013,17–24 hó,Nyelv/könyv,"Könyvnézegetés kevés szöveggel, sok rámutatással",benti,0 perc,3 kedvelt képeskönyv,"Rövid mondatok: 'kutya fut'; várj, mire mutat.",Kérdés helyett kommentálj többet.,csak képek megnevezése,mi történik? egyszerű bővítés,"érdeklődés, felnőtt stílus",S7; S8
A014,17–24 hó,Kinti/szenzoros,"Botok, levelek, kavicsok gyűjtése és válogatása",kinti,0 perc,"természetes tárgyak, vödör","Keressetek 2 féle tárgyat: levelek ide, kavicsok oda.","Figyelj biztonságra, szájba vételre.",csak gyűjtés,méret/szín szerinti válogatás,jelentésteli kontextus,S3; S6
A015,17–24 hó,Kinti/nagymozgás,"Lépcsőzés kézfogással, le/fel narrálással",kinti/benti,0 perc,lépcső,"Lassan: fel, le, megáll; ne siessetek.","Csak biztonsági segítség, ne húzd fel.",1-2 fok,"korlát mellett, több fok",mozgás-kogníció,S1; S9
A016,2–3 év,Gyakorlati élet,Banánvágás tompa késsel,benti,5 perc,"banán, tompa kés, vágódeszka","Mutasd: hámozás, vágás, tálba rakás.",Valódi konyhai helyzetként kezeld.,előre meghámozott banán,puha eper/sajt vágása,practical life,S1; S12; S13
A017,2–3 év,Gyakorlati élet,Gyümölcsmosás és tálalás,benti,5 perc,"tál, víz, gyümölcs","Ő mossa, te csak előkészíted a biztonságot.","Narráld: tiszta, nedves, száraz.",nagy darabok,"kisebb adagolás, törlés",jelentésteli kontextus,S1; S12
A018,2–3 év,Rutin/EF,Kézmosási rutin képes sorrenddel,benti,10 perc egyszer,3-4 képes kártya,Kép: víz-szappan-öblítés-törlés; mutasd sorban.,Később mutass a képre verbális utasítás helyett.,2 lépés,4-5 lépés,"rend, önállóság",S10; S11; S13
A019,2–3 év,Finommotorika,Csipeszelés zoknikkal vagy pomponnal,benti,5 perc,"nagy csipesz, kosár, zokni/pompon",Mutasd lassan a csipesz nyitását-zárását.,"Ne erőltesd, ha frusztrálja.","nagy csipesz, nagy tárgy","kisebb tárgy, színválogatás",mozgás-kogníció,S18; S10
A020,2–3 év,Finommotorika,Nagy gyöngy fűzése zsinórra,benti,5 perc,"nagy gyöngy, merev zsinór","Mutass 2 gyöngyöt, aztán ő folytassa.",Kezdj nagyon nagy lyukkal.,3 gyöngy,színminta AB,"rend, ismétlés",S18; S6
A021,2–3 év,Matematika,Szín szerinti válogatás két-három színnel,benti,3 perc,színes kupak/kocka,Nem kikérdezés: 'a pirosak ide jönnek'.,"Ha hibázik, modellezd, ne teszteld.",2 szín,"3-4 szín, hasonló árnyalat",szenzoros diszkrimináció,S1; S2; S3
A022,2–3 év,Memória/EF,Mi hiányzik? 3 tárggyal,benti,2 perc,3 ismert tárgy,"Nevezd meg, takard le, vegyél el egyet.","Legyen játékos, ne vizsga.",2 tárgy,4-5 tárgy,érdeklődés,S10; S11
A023,2–3 év,Nyelv/kategória,Állatok élőhely szerinti párosítása egyszerűen,benti,5 perc,"állatfigurák, képek: víz/erdő/ház","Beszélj: hal vízben, kutya háznál.",Hagyd őt is kategóriát kitalálni.,2 élőhely,3 élőhely,jelentésteli kontextus,S7; S8
A024,2–3 év,Zene/EF,Ritmustapsolás utánzás,benti/kinti,0 perc,nincs,"Tapsolj 2-3 ütést; várd, hogy ismételje.","Röviden, örömmel, mozgással.",1-2 ütés,lassú-gyors váltás,mozgás és figyelem,S2; S10
A025,2–3 év,EF/nagymozgás,Stop-go játék,benti/kinti,0 perc,nincs,"Futás/séta, majd 'stop'; utána 'mehet'.",Legyen sok siker és ne túl hosszú.,csak stop,szín/jel alapján váltás,mozgás-kogníció,S9; S10; S11
A026,2–3 év,Nagymozgás/tér,"Akadálypálya irányokkal: át, alatt, körül",benti/kinti,5 perc,"párna, szék, alagút",Használj kevés térbeli szót mozgás közben.,A testével tapasztalja meg a relációkat.,2 elem,útvonal memorizálása,mozgás-kogníció,S6; S9
A027,2–3 év,Téri/finom,Kirakó 2–6 darabbal,benti,1 perc,fa puzzle/képes puzzle,"Kezdd 2 darabbal, mutasd a sarkokat/éleket.","Segíts gesztussal, ne teljes megoldással.",2 darab,6-10 darab,önellenőrzés,S6; S13
A028,2–3 év,Matematika,"Tészta/kanál játék: tele-üres, sok-kevés",benti,5 perc,"tál, kanál, tészta/rizs","A szavakat a cselekvéshez kösd: tele, üres.","Nem számoltatás, hanem mennyiségélmény.",nagy kanál,"kisebb kanál, célpohár",jelentésteli kontextus,S3; S4
A029,2–3 év,Szerepjáték,Főzős szerepjáték valós tárgyakkal,benti,5 perc,"kis edények, kanál, valódi zöldségdarabok","Kapjon valós mozdulatot: keverés, tálalás.",A mintha-játékot ne tiltsd; kapjon valós alapot.,csak keverés,"vendégnek tálalás, sorrend","érdeklődés, practical life",S17; S7
A030,2–3 év,Kinti/matematika,Kincskeresés: hozz egy nagy levelet/kis követ,kinti,0 perc,természet,"A matematikai fogalmak kint, valós helyzetben jelenjenek meg.",Kövesd az érdeklődését.,csak gyűjtés,nagyobb-kisebb sorba rakás,jelentésteli kontextus,S3; S6
A031,3–4 év,Korai matematika,1–5 mennyiség kirakása tárgyakkal,benti,5 perc,"kavics/kocka, számkártya 1-5","Rakjatok ki 1, 2, 3 tárgyat; számhoz csak tárgy után nyúlj.",A szám mögött mindig legyen mennyiség.,1-3,1-10,konkrét manipuláció,S3; S4
A032,3–4 év,Korai matematika,Lineáris számtársas 1–10,benti,10 perc,"saját rajzolt pálya, bábu, dobókocka 1-3",Mindig egyesével lépjetek a lineáris pályán.,"Ne körpályával kezdjétek, ha a cél számvonal.",1-5 pálya,1-20 pálya,guided play,S5; S2
A033,3–4 év,Téri gondolkodás,Formavadászat a lakásban,benti/kinti,0 perc,nincs,Keressetek kör/szögletes/hosszú tárgyakat.,"Ne kártyáról tanulja, hanem valós tárgyakon.",2 forma,"több forma, hasonló tárgyak",jelentésteli kontextus,S6
A034,3–4 év,Mintázat,AB minta folytatása kockákkal,benti,3 perc,2 színű kockák,Kezdd: piros-kék-piros-kék; kérdezd: mi jön?,"Ha nem megy, folytasd te hangosan.",ABAB,AAB/ABC,"rend, minta",S3; S10
A035,3–4 év,Téri/projekt,Építés minta alapján 4-6 elemből,benti,5 perc,"duplo/kocka, fotó/minta","Építs előre kis mintát, ő próbálja másolni.",Segíts a nézőponttal és sorrenddel.,3 elem,"6-10 elem, 2D kép alapján",mozgás-kogníció,S6; S13
A036,3–4 év,Nyelv/tér,Alá-fölé-mellé játék plüssállattal,benti,2 perc,"plüss, doboz/szék","A maci a széken, a szék alatt, a dobozban.",Mozgással kombinálva hatékonyabb.,2 reláció,gyerek ad utasítást,mozgás-kogníció,S2; S6
A037,3–4 év,Finommotorika,Ollóhasználat csíkokon,benti,5 perc,"gyerekolló, papírcsík","Csak rövid vágásokat kérj, nem szép formát.",Bal kéz papírt stabilizál.,papírtépés,vonal mentén vágás,"ismétlés, önellenőrzés",S18
A038,3–4 év,Finommotorika/szenzoros,"Gyurma sodrás, csippentés, golyózás",benti,2 perc,gyurma,"Mutass 3 alapmozdulatot: sodor, lapít, csippent.",Nem kész produktum a cél.,szabad gyurma,alakzat/forma kirakása,mozgás-kogníció,S18
A039,3–4 év,Nyelv/narratíva,Képsorrend 3 képpel: eleje-közepe-vége,benti,5 perc,3 képből álló történet,"Rakjátok sorba, mondd: először, aztán, végül.","Fogadd el saját verzióját, aztán modellezz.",2 kép,4-5 kép,"rend, jelentésteli kontextus",S7; S8
A040,3–4 év,Nagymozgás,Dobás kosárba változó távolságból,benti/kinti,2 perc,"puha labda, kosár","Kezdj közelről, siker után lépj hátrébb.","A célzás játék, nem teljesítményteszt.",közeli kosár,különböző labdák/célok,mozgás-kogníció,S9
A041,3–4 év,Memória/EF,Memóriajáték 4–6 párral,benti,2 perc,memória kártyák,"Kezdd kevés párral, hangosan nevezd meg a képeket.","Rövid körök, ne túl hosszú.",3 pár,8-10 pár,társas tanulás,S10; S11
A042,3–4 év,Természettudomány,Süllyed-lebeg egyszerű kísérlet,benti/kinti,10 perc,"víz, tál, tárgyak","Előbb tippeljetek, aztán próbáljátok ki.",A 'tévedés' tanulási adat.,3 tárgy,anyag szerinti csoportosítás,jelentésteli kontextus,S2
A043,3–4 év,Gyakorlati élet/természet,"Növény gondozása: locsolás, napfény, megfigyelés",benti/kinti,5 perc/nap,"növény, kis locsoló","Legyen saját növény, kis napi felelősség.",Kérdezz: mit látsz ma?,csak locsolás,rajzos megfigyelési napló,valós tevékenység,S1; S12
A044,3–4 év,Társas/EF,Egyszerű társas: dobok-lépek-várok,benti,10 perc,egyszerű társas,"Modellezd: most te, most én; örüljetek a körnek.",Ne a győzelem legyen hangsúlyos.,rövid játék,több szabály,társas tanulás,S10; S2
A045,4–5 év,Korai matematika,1–20 lépegetős társas lineáris pályán,benti,10 perc,"rajzolt pálya, bábu, kártya/dobókocka","Lépésenként számoljatok, a számok egyenletesen nőjenek.","A lineáris forma fontosabb, mint a dizájn.",1-10,"visszalépés, +2/-1",guided play,S5; S2
A046,4–5 év,Matematika/mérés,Mérés vízzel vagy kanállal: hány kanál tölti meg?,benti/kinti,10 perc,"poharak, kanál, víz/rizs","Tippeljetek, mérjetek, hasonlítsatok.",A mérés legyen játékos és valós.,egyforma pohár,különböző poharak,jelentésteli kontextus,S3; S4
A047,4–5 év,Gyakorlati élet/EF,Recept követése 3 lépésben,benti,15 perc,egyszerű recept képekkel,"Képek alapján: mos, vág, kever.","Engedd, hogy ő pipálja a lépéseket.",2 lépés,"5 lépés, mennyiségek mérése",valós tevékenység,S10; S13
A048,4–5 év,Téri gondolkodás,Kincskereső egyszerű térképpel,benti/kinti,10 perc,"rajzolt térkép, kis tárgy","Rajzolj szobatérképet, jelöld X-szel a kincset.",A térkép a valós térhez kapcsolódjon.,egy szoba,több állomás,jelentésteli kontextus,S6
A049,4–5 év,Nyelv/literacy,Rímkeresés játékosan,benti/kinti,0 perc,nincs/képek,"Mondj egy szót, keressetek vicces rímet.","Ne javíts túl, a hangjáték a lényeg.",kész rímpárok,ő talál ki rímet,érdeklődés,S8; S7
A050,4–5 év,Nyelv/literacy,Szótagtapsolás nevekkel és tárgyakkal,benti/kinti,0 perc,nincs,"Fló-ra, ku-tya, ba-nán; tapsoljátok.",Testmozgással kösd össze.,2 szótag,3-4 szótag,mozgás-kogníció,S7; S10
A051,4–5 év,Nyelv/literacy,Kezdőhang-vadászat: mi kezdődik m hanggal?,benti/kinti,0 perc,tárgyak/képek,"Ne betűként, hanem hangként: mmm-maci.",Csak ha élvezi; ne legyen kikérdezés.,2 tárgy,"több hang, kategóriák",érdeklődés,S8
A052,4–5 év,Matematika,ABC vagy AAB mintasor folytatása,benti,5 perc,kockák/gyöngyök,Mutasd ki a szabályt hangosan: piros-piros-kék.,Kérdezd: hogyan folytatnád?,AB minta,saját minta tervezése,"rend, önellenőrzés",S3; S10
A053,4–5 év,Matematika/adat,Saját grafikon: melyik gyümölcsből mennyit vettünk?,benti,10 perc,"gyümölcsök, papír, matricák",Minden darabhoz egy jel; hasonlítsátok össze.,"Valós adat legyen, nem feladatlap.",2 kategória,4 kategória,jelentésteli kontextus,S3; S4
A054,4–5 év,Téri/projekt,Építési projekt: híd két könyv között,benti,10 perc,"kockák, könyvek, kis autó",Cél: menjen át az autó; próbáljátok javítani.,Kérdezz: mit változtatnál?,rövid távolság,"nagyobb távolság, terhelés",guided discovery,S6; S2
A055,4–5 év,Téri/figyelem,Puzzle 24–48 darabbal stratégia szerint,benti,10-20 perc,puzzle,"Mutasd: sarok, szél, színek csoportosítása.","Segíts stratégia kérdéssel, ne kész megoldással.",12-24 darab,48+ darab,önellenőrzés,S6; S13
A056,4–5 év,Természettudomány,Olvad-fagy kísérlet,benti,10 perc + várakozás,"jég, tál, meleg víz/hűtő",Tippeljetek: hol olvad gyorsabban?,Várakozás és megfigyelés is része.,csak jég olvadás,"időmérés, rajzos napló",jelentésteli kontextus,S2
A057,4–5 év,Matematika/szerep,Boltos játék 1–5 árakkal,benti,10 perc,"tárgyak, árkártya, korongok",A mennyiség legyen tárgyi: 3 korong = alma.,"Ne igazi pénztanítás legyen, hanem megfeleltetés.",1-3 ár,visszajáró nélkül 1-10,jelentésteli kontextus,S3; S17
A058,4–5 év,EF/nagymozgás,"Simon says / 'csak akkor csináld, ha...'",benti/kinti,0 perc,nincs,"Adj szabályt: csak akkor ugorj, ha azt mondom 'Simon'.",Legyen vicces és rövid.,egyszerű stop-go,2 szabály egyszerre,mozgás-kogníció,S10; S11
A059,5–6 év,Nyelv/projekt,Saját kis könyv készítése rajzzal,benti,20 perc,"papír, tűzőgép, ceruza",Rajzoljon 3-5 oldalt; ő diktálhatja a szöveget.,"Ne javítsd a betűket, ha nem ez a cél.",3 oldal,"eleje-közepe-vége, cím","érdeklődés, jelentés",S7; S8
A060,5–6 év,EF/rutin,Naptár és heti terv képekkel,benti,10 perc/hét,"naptár, matricák/képek","Jelöljétek a fix pontokat: ovi, torna, kirándulás.",Ne legyen túl részletes.,mai nap,"heti terv, visszatekintés","rend, önállóság",S10; S11
A061,5–6 év,Matematika,Egyszerű összeadás-kivonás tárgyakkal,benti/kinti,5-10 perc,kockák/kavicsok,"Történetbe ágyazva: 3 alma volt, 1-et megettünk.","Mindig tárgyból indulj, nem feladatlapból.",1-5,"1-10/20, saját történet",konkrét manipuláció,S3; S4
A062,5–6 év,Matematika/nagymozgás,Számvonalos ugrálás 0–20,benti/kinti,10 perc,kréta/szalag számvonal,"Ugorj 0-ról 5-re, aztán +2; testtel tapasztalja.",Visszafelé csak később.,0-10,"+/- lépések, becslés",mozgás-kogníció,S5; S9
A063,5–6 év,Matematika/mérés,Mérőszalaggal tárgyak összehasonlítása,benti,10 perc,"mérőszalag, tárgyak",Keressetek hosszabb/rövidebb tárgyakat; mérjetek.,A mérőszám csak utána jöjjön.,csak összehasonlítás,"cm leolvasás, becslés",jelentésteli kontextus,S3; S6
A064,5–6 év,Téri gondolkodás,Térképrajzolás a lakásról/parkból,benti/kinti,20 perc,"papír, ceruza","Rajzoljátok be: ajtó, asztal, kedvenc hely.",Tér és rajz összekötése a cél.,egy szoba,"útvonal, jelmagyarázat",jelentésteli kontextus,S6
